english,francais
stands,base
army,armée
threatening,compromettre
emit,émettre
regulation,disposition
misfortune,guigne
Coast,côte
taxpayers,contribuable
deciduous,caduc
play,drame
forever,ad_vitam_aeternam
heavy,lourd
moves,coup
executed,effectuer
issue,problème
visited,rendre_visite
collective,collectif
mechanical,mécanique
jungle,forêt_vierge
York,maison_d'York
recovery,redressement
Turkey,dinde
speeches,adresse
ending,bout
condolences,condoléance
Citizens,citoyen
anticipating,anticiper
enforcing,appliquer
assure,assurer
eroded,éroder
flattened,aplatir
strategy,projet
Market,marché
lived,demeurer
Last,conclusion
twenty-five,vingt-cinq
rapidly,diligemment
disfiguring,défigurer
freed,délivrer
has,ha
briefly,brièvement
furthering,élever
ideal,idéal
January,Gommaire_de_Lierre
External,externe
off,abattre
manage,gérer
deal,commerce
might,force
debt,dette
timetable,calendrier
organisations,administration
classification,assortiment
quickly,diligemment
fit,coup_de_colère
fortunately,heureusement
Interests,intérêt
note,note
firemen,pompier
satisfying,combler
stubbornness,entêtement
customers,au_sens_économique
instructive,éducatif
got,acquérir
object,chose
23,23
principle,principe
began,commencer
foundered,fondateur
raft,radeau
enjoyed,savourer
individuals,être_humain
meaningful,expressif
altogether,cru
integral,intégral
space,espace
public,monde
hoping,désirer
contacts,contact
procurement,achats
prosecutors,procureur
remote,télécommande
memory,mémoire
cries,cri
isolation,désenclavement
wreck,épave
preserving,confirmer
topic,matière
adding,ajouter
efforts,essai
event,événement
extension,délai
suffer,atteindre
aggressive,agressif
fate,destin
Spanish,Avimimus
world,cosmos
reminders,rappel
passing,passage
structure,construction
train,train
satisfactory,satisfaisant
hedge,h
Christmas,Noël
children,bambin
Parliament,assemblée
page,page
written,composer
define,définir
villas,villa
washed,laver
rust,rouille
exists,être
corporations,corporation
transposition,transposition
Quite,assez
customer,au_sens_économique
adheres,adhérer
threats,menace
managed,gérer
emergence,croissance
Freedoms,liberté
dynamic,dynamique
intellectual,intellectuel
exemptions,dérogation
regular,ordinaire
dawn,aube
confines,confins
First,premier
purchasing,achat
Now,maintenant
arrived,arriver
citizen,citoyen
tourism,tourisme
examination,contrôle
cessation,sursis
cross,croix
cause,cause
obstacles,obstacle
discussion,débat
football,ballon
already,déjà
reading,lecture
departments,département
spokespersons,interprète
privilege,avantage
housing,habitat
continually,continuellement
based,baser
hurricanes,ouragan
Consequently,donc
swept,balayer
modification,adaptation
celebrating,accomplir
moreover,de_plus
examples,exemple
weapons,arme
satire,ironie
milestone,borne
priorities,préséance
team,équipe
occasionally,de_temps_en_temps
slice,part
responsibilities,devoir
do,faire
improves,améliorer
means,façon
Please,s'il_te_plaît
shipping,transport
divulge,dire
COD,cabillaud
developed,développer
endeavour,effort
miracle,miracle
GDP,PIB
cities,métropole
think,penser
strongest,fort
IMO,OMI
explore,chercher
group,ensemble
championed,champion
negative,négatif
strikes,grève
obstructing,bloquer
acting,intérimaire
evasions,évasion
definition,définition
push,pression
care,aide
eighth,huitième
e,tocophérol
subsidy,subside
minimising,minimiser
discontinue,arrêter
laughter,rire
state,état
planned,chercher
criticise,critiquer
rating,évaluation
woman,femme
feet,patte
richest,riche
tourist,touriste
maiden,bonne
outcomes,dénouement
counties,comté
storm,orage
detriment,détriment
procedures,procédure
voted,voix
controversy,argument
qualifying,modification
annex,aile
chain,chaîne
demonstrates,exposer
maintained,maintenir
perceived,comprendre
forego,précéder
phasing,phase
abstaining,abstenir
enshrined,ancrer
constructive,constructif
accept,accepter
does,énergie
mess,chaos
loopholes,échappatoire
consonant,consonne
subvert,renverser
adapting,accommoder
skilled,adroit
position,place
exonerated,accomplir
criticising,critiquer
aligned,aligner
electronically,électroniquement
product,marchand
save,économiser
mourning,deuil
address,adresse
purely,strictement
emotional,émotionnel
Some,certain
universities,aristote
Admittedly,certes
Road,chemin
accounting,comptabilité
ones,10
shipment,cargaison
looks,air
proposed,conseiller
strategically,stratégiquement
distributed,dispenser
forced,contraindre
limb,membre
nuisance,embêtement
temperatures,température
wonderfully,admirablement
exclude,englober
Inspections,contrôle
helping,portion
expertise,adresse
thereby,ainsi
aspect,aspect
crucial,considérable
calling,carrière
refuses,ordure
Mediterranean,Mediterranée
controls,commande
pleasure,plaisir
birth,accouchement
horizontal,horizontal
products,marchand
affair,affaire
benefit,aide
entrepreneur,entrepreneur
sailing,navigation
contain,comprendre
species,espèce
percentage,cent
curbed,contenir
continuing,continuer
German,allemand
personal,personnel
solve,cerner
role,fonction
double,double
transition,passage
thus,encens
test,épreuve
Treaties,accommodement
lament,vagir
officer,fonctionnaire
states,état
Frankly,carrément
imposes,exécuter
handful,poignée
pointed,désigner
drafts,brouillon
corpus,corpus
demonstration,démonstration
refugees,réfugié
financed,finance
entity,entité
union,enterprise_union
correct,correct
generously,abondamment
decentralisation,décentralisation
subsequent,prochain
revenues,recette
cover,couverture
home,domicile
meant,avoir_l'intention
hide,cacher
kept,maintenir
demonstrate,exposer
dependent,dépendant
regards,aspect
misery,misère
involved,affecter
intending,avoir_l'intention
bullets,balle
confusion,confusion
creates,créer
Yet,encore
Hicks,cul-terreux
disposal,disposition
strike,grève
serves,service
continent,continent
lovers,amant
sections,partie
directives,directive
legality,légalité
appoint,appeler
notice,avis
reimbursement,remboursement
passes,but-sur-balles
le,Le
difficult,ardu
time,fois
Slovakia,Slovaquie
served,conserver
contravention,contravention
came,approcher
initiate,apprenti
highlighted,attirer
representative,mandataire
Prevention,prévention
educating,éduquer
adhere,adhérer
emergency,crise
ex,ex
mistake,erreur
protected,assurer
presume,présumer
bringing,importation
approved,agréer
Genuine,authentique
core,noyau
embody,incarner
section,partie
lastly,dernier
head,tête
initiative,entreprise
despoiled,pillage
deserve,mérite
agreement,abord
wreak,amener
unknown,inconnu
jurisdictions,juridiction
safeguard,préservation
disgust,dégoût
stipulates,condition
Clearly,clairement
weaken,faillir
greatly,beaucoup
run,courir
Party,parti
feature,caractéristique
led,DEL
fulfils,aboutir
shipments,cargaison
witnessed,assister
Commission,comité
bark,aboyer
resolution,déclaration
fails,dédaigner
Protocol,protocole
heartily,chaleureusement
unified,accoupler
assimilated,absorber
increasing,accroître
suspected,prévoir
elements,abc
attracting,allécher
affect,affect
adoption,abord
recorded,déposer
follows,suivre
penetrates,entrer
anticipated,anticiper
watch,mon
responded,réagir
pictures,icône
six,10
interesting,intéresser
ills,infirmité
acres,terrain
consideration,considération
succeed,arriver
envisaging,contempler
gradually,doucement
There,là
stubborn,têtu
admit,admettre
Despite,dédain
move,coup
climate,climat
Foreign,étranger
pain,douleur
own,avoir
largely,généralement
amendments,amendement
taxable,imposable
undertake,assumer
foundation,bases
60,Lx
happened,arriver
promise,promesse
Small,jeune
stressing,souligner
repairs,réparation
Italian,Élections_au_Sénégal
put,mettre
fruit,fruit
considerations,considération
seminar,séminaire
standards,référence
provide,fournir
density,densité
delicate,fin
But,cependant
possible,possible
conflict,bagarre
stand,base
estimated,estimer
margin,frontière
confidentiality,confidentialité
concerning,appartenir
guilty,coupable
Recently,dernièrement
expecting,anticiper
accustomed,accoutumer
detected,analyser
powers,force
beautiful,beau
hearings,jugement
indicators,index
legalities,légalité
sustained,actualiser
total,agrégat
presidents,président
represent,correspondre
Guatemala,Guatemala
compliance,conformité
dark,obscurité
operating,courir
Forest,bois
duty,devoir
prerequisites,condition
CEO,chief_executive_officer
ensured,assurer
carrying,porter
mission,mission
welfare,aide_sociale
ingredients,ingrédient
April,avril
reopen,réouvrir
situation,situation
instances,cas
biosphere,biosphère
vicinity,environs
divide,diviser
fulfilled,aboutir
placed,mettre
Future,avenir
ports,port
condemned,déplorer
kinds,forme
arguments,argument
Liberal,libéral
aware,conscient
tool,instrument
comprehensible,compréhensible
hindering,empêcher
there,là
dissatisfaction,insatisfaction
Secretary,secrétaire
dominance,dominance
Texas,Fort_Worth
continued,continuer
favour,faveur
twin,jumeau
Paris,Panthéon
telecommunication,télécom
leads,plomb
answer,conséquence
league,conférence
competitiveness,compétitivité
constitutional,constitutionnel
decide,décider
permitted,autoriser
quite,assez
Finnish,finlandais
wanted,désirer
veterinary,vétérinaire
appreciation,admiration
failures,défaillance
Peter,fils_de_Jonas
protracted,prolonger
wondering,se_demander
further,élever
namely,c'est-à-dire
gulf,golfe
ease,simplicité
all,tout
trickery,abracadabra
Caucasus,Caucase
remind,rappeler
repeated,redire
part,élément
discredited,discréditer
Principality,principauté
warning,avertissement
leavers,navire_quittant
farm,exploitation
fifthly,cinquièmement
partial,dérivée_partielle
infancy,enfance
hired,appliquer
shift,déplacement
civilians,civil
hydrocarbons,hydrocarbure
reform,réforme
ingredient,ingrédient
dealt,traiter
Instead,au_lieu_de
17,dix-sept
requiring,demander
de,DE
saving,économie
Director,administrateur
shipwreck,épave
goods,bon
Democrat,démocrate
indeed,certes
given,condition
Between,entre
compared,comparer
restates,redire
assisting,aider
definitely,absolument
Commissioner,commissaire
politician,homme_politique
envy,envie
submitting,compléter
Indian,indien
watershed,diviser
fulfilling,aboutir
capture,confiscation
International,international
indefinitely,indéfiniment
Curiously,curieusement
conclusions,conclusion
recognised,reconnaître
wasted,dissiper
disintegration,décomposition
postponing,différer
matters,affaire
big,grand
undoubtedly,assurément
often,beaucoup
abstract,abstraction
discontinued,arrêter
energy,énergie
Dutch,Hollandais
Fifthly,cinquièmement
peaceful,calme
town,cité
follow,suivre
extremely,admirablement
impressive,épatant
merging,connexion
publishing,édition
concluding,conclure
approached,approcher
needs,besoin
recover,rattraper
inadmissibility,inadmissibilité
bear,charge
cleanliness,propreté
warmer,chauffage
Rule,gouvernement
encouraged,améliorer
documents,document
specifying,condition
smell,flairer
body,corps
case,cas
makes,marque
forgot,oublier
relationship,lien
indispensable,indispensable
two,1
still,encore
motions,geste
adopt,adopter
work,travail
novel,nouveau
withdraw,décéder
Federation,fédération
eight,10
savings,épargne
police,droit
rusting,rouille
Community,communauté
at,astate
benefits,aide
thread,fil
prerequisite,condition
Pakistan,Baloutchistan
envisages,contempler
writer,auteur
suspicions,intuition
monitored,contrôler
Koch,koch
trolley,tram
weakened,faillir
gratitude,gratitude
notices,avis
exposing,exposer
Leader,chef
continuation,continuation
tried,chercher
appreciate,apprécier
issuing,délivrance
motivated,inciter
preservation,conservation
mathematical,mathématique
average,moyen
other,autre
much,beaucoup
mutilation,mutilation
fourthly,quarto
candidly,carrément
disappointing,décevoir
Dublin,Dublin
combat,bataille
protecting,assurer
treason,haute_trahison
acknowledge,admettre
crews,équipage
definite,définitif
factor,facteur
engaged,bénéficier
overtones,partiel
capacity,capacité
earner,salarié
VAT,TVA
subsidiary,inférieur
Funds,fonds
opening,espace
remains,reste
equally,aussi
influencing,influencer
failed,dédaigner
shared,échanger
soldiers,militaire
cutting,montage
expected,anticiper
Tibetans,Tibétain
treat,friandise
Eighteen,dix-huit
underlined,souligner
macroeconomic,macroéconomique
along,le_long_de
lie,gésir
relatively,assez
scrupulous,scrupuleux
Brittany,Bretagne
practices,pratique
ecosystems,écosystème
40,quarante
Liberals,libéral
experiencing,comprendre
Marseilles,Marseille
Amended,amender
exclusion,exclusion
benefited,bénéficier
why,pourquoi
figure,figue
edge,bord
long,aspirer
finishing,fin
scrutinise,examiner
genuinely,réellement
evidence,élément
outside,dehors
telecommunications,télécom
characteristics,caractéristique
categories,catégorie
Atlantic,atlantique
flaw,défaut
experiences,expérience
enhance,accroître
misdemeanours,délit
henceforth,désormais
television,télé
animals,animal
finds,découvert
appropriation,crédit
Kingdom,domaine
little,petit
distance,distance
inspectors,inspecteur
Transport,transport
equal,allumette
Ken,connaissance
ensuing,aboutir
human,être_humain
supervision,supervision
optimum,optimum
class,catégorie
four,10
Commissioners,commissaire
manufacturing,fabrication
agree,être_d'accord
preferred,aimer_mieux
China,Cathay
advise,conseiller
raised,augmenter
coastlines,rive
initiatives,entreprise
exempted,affranchir
advocating,préconiser
compare,comparabilité
associations,association
strengths,force
districts,circonscription
insurance,assurance
marked,étiqueter
committee,comité
tolerate,accomplir
Portugal,Lagos
facility,installation
communities,communauté
fish,poisson
unit,unité
muddle,embrouillamini
named,appeler
Accordingly,donc
cent,cent
founded,établir
consultation,audience
cite,citation
terribly,affreusement
despite,dédain
increase,addition
tunnels,galerie
fifteen,quinze
laid,mettre
recommend,préconiser
never,jamais
Let,filet
filled,remplir
tonnes,tonne
anchored,ancre
youth,homme
holiday,congé
expired,périmer
Wishing,désir
food,aliment
awarding,attribution
Japanese,japonais
almost,pratiquement
sixth,sixième
unemployment,chômage
protagonists,admirateur
Home,domicile
90,nonante
preceded,précéder
release,communiqué
believe,croire
sphere,aire
strong,fort
someone,être_humain
profit,bénéfice
changeover,conversion
certification,certification
summer,été
entering,abord
Indonesia,Indonésie
aspects,aspect
maintaining,maintenir
lowered,abaisser
pertains,appartenir
travelled,aller
suggestion,suggestion
sanitation,assainissement
windfalls,aubaine
armed,arme
suffered,atteindre
envoy,émissaire
oil,huile
High,haut
useless,accessoire
exercising,exercice
perhaps,peut-être
targeted,cible
sufficiently,assez
ambitions,ambition
independent,indépendant
official,cadre
withdrawn,décéder
navigating,naviguer
Canyon,canyon
fixed,réparer
ascertain,déterminer
related,associer
design,conception
island,île
farmers,agriculteur
Quaestors,questeur
economists,economiste
embraced,comprendre
minds,cerveau
string,ficelle
proactive,proactif
van,avant-garde
Peking,Beijing
exception,élision
dangerous,dangereux
Periodic,périodique
formulas,expression
frank,Franc
telephone,téléphone
sometimes,des_fois
maybe,peut-être
losing,paumer
lay,ballade
statistics,la
describe,décrire
need,besoin
materialise,arriver
stresses,accent
ordeal,calvaire
face,face
stay,séjour
includes,comporter
administrations,administration
probable,vraisemblable
yellow,jaune
but,cependant
frankly,carrément
intolerable,insoutenable
Forty,quarante
alleviating,apaiser
Galicia,Galice
Financial,financier
variations,fluctuation
indicates,indiquer
may,Lili
devour,dévorer
evaluated,apprécier
most,maintenant
renewable,renouvelable
reflection,pensée
wildlife,faune
beetle,coléoptères
implications,déduction
Better,meilleur
dissected,disséquer
Black,galeux
indicated,indiquer
envoys,émissaire
unease,inquiétude
forgetting,oublier
learned,acquérir
referring,appeler
fat,graisse
affording,être_en_mesure_de
examinations,contrôle
misuse,abus
regression,arrested_development
countermeasures,contre-mesure
events,événement
sensitivity,sensibilité
staircases,escalier
Tampere,Tampere
works,fabrique
quilt,bouffée
thing,chose
convenience,commodité
granted,accorder
Competition,concurrence
simply,cependant
willingness,gré
thoroughness,ruguosité
wider,ample
specifically,particulièrement
enthusiastically,ardemment
business,entreprise
listen,écouter
creating,créer
regretting,lasser
financially,financièrement
profoundly,profondément
easier,facile
journalist,journaliste
denied,nier
expand,étendre
opportunity,chance
acutely,vivement
FR,eka-césium
agreements,abord
pursue,bénéficier
transport,transport
receiving,avoir
Almost,pratiquement
relief,dégrèvement
heavily,lourdement
distorting,déformer
Netherlands,holland
complain,coup_de_pied
merely,cependant
tabled,différer
primarily,essentiellement
material,matériau
maintenance,entretien
energies,énergie
Democrats,démocrate
meets,face
adult,adulte
deviate,dégénérer
Eve,Ève
Taking,prise
concluded,conclure
kind,forme
sparing,économiser
promised,assurer
justifies,justifier
economic,économique
residues,résidu
introducing,cadeau
minimum,minimum
criterion,référence
waters,waters
financing,financement
Taiwan,Chine
coverage,couverture
gravitate,graviter
document,document
violent,violent
flora,flore
allow,laisser
abuses,abus
equivalent,contre-valeur
Environmental,environnemental
anywhere,n'importe_où
comment,commentaire
presented,exposer
mechanisms,mécanisme
Ireland,État_libre_d'Irlande
prevails,dominer
tomorrow,demain
markets,marché
Hurricane,ouragan
broadest,ample
areas,aire
approve,agréer
Professor,professeur
devote,consacrer
unilaterally,unilatéralement
Secondly,deuxième
frighteningly,dangereusement
nice,Nice
limits,limite
prevention,prévention
tonight,à_soir
reasoning,cogitation
Ankara,Ankara
Drawing,dessin
attribute,attribut
thanks,merci
beyond,au-delà
suspended,suspendre
representing,correspondre
British,Britannique
Lastly,dernier
Environment,environnement
arms,armes
full,pleine_lune
outlined,ébauche
frustrated,contrecarrer
injects,injecter
policies,politique
Time,fois
valid,valable
occasion,occasion
helm,barre
ne,neon
Palace,château
existence,être
obvious,évident
responsibility,devoir
landed,atterrir
blocked,arrêter
meantime,décalage
afternoon,après-midi
volume,contenu
renew,recommencer
treated,traiter
regret,regret
Weapons,arme
weather,intempérie
strange,étrange
thorn,agacement
share,commission
revisit,revisiter
obtain,acquérir
maritime,marin
objection,objection
pity,ruth
commit,commettre
Madeira,Madeira
concrete,béton
course,classe
severely,gravement
reviewed,rédiger
century,siècle
hot,chaud
environment,environnement
reconciliation,rapprochement
persons,être_humain
oyster,huître
fault,erreur
declare,déclarer
publication,publication
vigorously,vigoureusement
practice,pratique
Nos,non
cases,cas
Subject,matière
educated,éduquer
expression,air
previously,antérieurement
insist,insister
characteristic,caractéristique
help,aide
concerns,intérêt
Himalayan,colossal
exemption,dérogation
checks,chèque
Groups,ensemble
Confidence,autorité
agencies,administration_fédérale
reverse,contradictoire
rapid,rapide
delight,joie
observation,observation
releasing,abandonner
inability,incapacité
calculated,calculer
Emphasis,accent
c,degré_Celsius
pure,propre
rescue,sauvetage
consulting,consulter
judgement,arrêt
obliges,contraindre
shifted,changer
characterise,caractériser
staying,demeurer
treaty,accommodement
context,cadre
productive,productif
islands,île
urgently,cruellement
nuclear,atomique
faced,affronter
foot,patte
Country,contrée
feed,aliment
serenity,calme
growing,croissance
prosecuted,poursuivre
reservations,réservation
Poverty,pauvreté
nowadays,présent
liberalisation,libéralisation
tremendously,beaucoup
layers,couche
voices,voix
death,décès
remarks,commentaire
as,arsenic
exposed,exposer
grounds,élément
strengthen,fortifier
citizenship,citoyenneté
Century,siècle
Paper,papier
importance,importance
moving,aller
attempt,essai
failure,défaillance
task,entreprise
regrets,déclinaison
Frustration,défaite
collate,régler
table,table
phenomenon,phénomène
resolve,fermeté
thank,remercier
exploit,effort
stated,affirmer
organising,administrer
ordinary,ordinaire
supporting,appui
consumer,consommateur
report,étude
real,nombre_réel
Asia,Asie
insularity,isolation
prioritise,prioriser
location,lieu
want,manque
carry,œuvre
guaranteed,assurer
Policy,politique
Rules,gouvernement
dumping,dumping
habitats,habitat
popularise,généraliser
slick,glissant
reinforced,armer
employment,chômage
Or,Beaverton
passed,passer
completely,bien
doing,aller
Thirdly,tertio
containers,bac
proportion,proportion
prosper,prospérer
baby,beauté
grateful,reconnaissant
remedy,remède
taken,faire
disparity,différence
emphasise,souligner
explain,expliquer
website,site
authorise,autoriser
modern,moderne
advanced,arriver
private,privé
attacking,assaillir
omissions,omission
dedicate,consacrer
lines,ligne
Energy,énergie
introduced,cadeau
owners,patron
enlighten,édifier
respond,réagir
nature,nature
trillion,millions
invested,injecter
clash,choc
tax,impôt
found,fonder
sincere,sincère
changes,altération
ghost,âme_en_peine
Little,petit
instrument,instrument
in,pouce
considers,considérer
innocent,innocent
substantiates,accoter
Rather,au_lieu_de
identifying,identifier
approves,agréer
ten,décennie
investigations,enquête
budget,budget
heap,masse
temptation,tentation
package,colis
gravely,gravement
degrees,degré
confident,confiant
heed,attention
employees,employé
resulting,aboutir
centre,centre
sake,intéresser
fuels,carburant
attach,attacher
support,aide
technical,technique
mean,dire
call,appel
attend,assister
proposal,propos
installations,installation
Illegal,illégal
considered,considérer
Decision,conclusion
opposed,résister
prices,coût
Loyola,Loyola
measured,mesurer
Journal,journal
mention,mentionner
contributed,ajouter
machinations,intrigue
initially,d'abord
thoughtfulness,pensée
sir,monsieur
applicant,candidat
publicly,au_grand_jour
polluter,pollueur
fought,batailler
sad,sérieux
gallery,galerie
gives,donner
uranium,uranium
expires,périmer
stamping,fouler
receive,avoir
certificate,attestation
aims,but
series,série
modernisation,modernisation
education,éducation
capital,capital
abolished,abolir
islander,îlien
so,sol
monitoring,monitorage
levels,degré
picks,choix
pattern,forme
EDD,docteur_en_éducation
catastrophes,calamité
returned,rendre
forgotten,oublier
standard,référence
express,express
Reading,lecture
analyse,analyser
include,comporter
subjects,matière
touch,toucher
merits,mérite
Fisheries,pêche
violate,casser
confront,affronter
thousand,chiliade
driving,conduite
extraordinary,extraordinaire
gains,addition
criticism,critique
routine,modus_operandi
worsening,détérioration
finance,finance
industry,industrie
unions,enterprise_union
north,North
separates,séparer
talents,cadeau
ask,demander
presence,présence
expressed,exprimer
Swedish,suédois
place,endroit
are,ar
railways,chemin_de_fer
arrival,arrivée
regulated,moduler
definitions,définition
limiting,modification
twenty,vingt
Governor,gouverneur
asked,demander
yield,production
Alternatively,au_lieu_de
tragedies,calamité
flags,étendard
calculating,calculer
sea,mer
pirates,copieur
desk,bureau
tasks,entreprise
inequality,inégalité
character,caractère
expense,dépense
inspected,inspecter
some,certain
seawater,eau_de_mer
key,clé
colleagues,collègue
Azores,Açores
BSE,Christian_Kux
stationed,emploi
bridge,passerelle
diversification,diversification
sympathy,compassion
floor,étage
advent,avènement
coasts,côte
compliments,souhait
lasted,continuer
subsequently,après
feared,craindre
change,altération
association,association
preparations,préparation
noble,noble
EC,CEE
quarters,domicile
contribute,ajouter
Imprisonment,emprisonnement
Perhaps,peut-être
fully,absolument
function,fonction
insufficiently,insuffisamment
Prosecutor,procureur
paint,peinture
petition,demande
parliament,assemblée
domestic,domestique
approximation,approximation
investments,investissement
inspect,inspecter
mistakes,erreur
followed,suivre
Who,ce_qui
added,ajouter
intentions,but
again,à_nouveau
annual,annuel
hands,garde
occurrence,événement
end,bout
exhaustion,abattement
suggests,conseiller
abandon,abandonner
hand,main
harder,ardu
legislation,loi
clearly,clairement
inspector,inspecteur
approvals,agrément
contact,contact
fullest,entier
corporation,corporation
discipline,discipline
embark,bateau
anyway,de_toute_façon
summarise,résumer
favours,faveur
image,image
regional,régional
profile,profil
13,13
probably,apparemment
quality,propriété
free,gratuit
agriculture,agribusiness
receives,avoir
motor,moteur
capacities,capacité
term,terme
row,ligne
congratulates,compliment
forefront,chef
appeal,appel
juncture,occasion
risk,danger
Key,clé
characterisations,caractérisation
subsidiarity,principe_de_subsidiarité
revised,rédiger
Adoption,abord
tenets,doctrine
discussing,débattre
Basically,basiquement
Thank,remercier
hit,coup
delivered,cadeau
stipulate,condition
seen,percevoir
simplifying,réduire
homes,domicile
begins,Menahem_Begin
varied,changer
aids,sida
justified,justifier
question,question
replacing,remplacement
obtaining,acquérir
close,conclusion
lion,lion
disappearing,disparition
hold,embrayage
affects,affect
straitjacket,camisole
Five,10
producing,créer
Venezuela,Venezuela
rationalisation,rationalisation
anonymity,anonymat
Assistance,aide
consolidation,consolidation
consequently,donc
discovered,analyser
bug,insecte
liberal,libéral
coffin,cercueil
utilise,servir
forests,bois
resolutions,déclaration
start,début
Objectives,cible
also,aussi
constructed,assembler
mismanagement,mégestion
temporary,temp
consequences,cause
cure,remède
seriously,gravement
prosecutes,poursuivre
dioxin,dioxine
hasten,presser
breeding,élevage
site,lieu
getting,obtention
conceive,conceptualiser
stories,histoire
aid,aide
recognises,reconnaître
sealing,scellage
multiple,multiple
discussed,débattre
Lama,lama
typically,spécifiquement
gross,144
centralisation,centralisation
29,vingt-neuf
exercised,employer
tragedy,calamité
corresponding,correspondre
penny,centime
newspaper,journal
common,fête
comes,éjaculer
sure,certain
tens,décennie
view,perspective
pollution,pollution
understands,appréhender
seek,chercher
authorised,autoriser
projects,entreprise
widest,ample
finances,fonds
prosperity,prospérité
sawmills,scierie
Yes,oui
governments,gouvernement
System,dispositif
spillage,déversement
shock,choc
Standardisation,normalisation
choose,choisir
Report,étude
excuse,alibi
Trade,commerce
able,comptable
done,aller
Regional,régional
marking,marquage
piece,morceau
prompted,inciter
directive,directive
discontent,mécontentement
naturally,bien_entendu
leading,interligne
rhetoric,rhétorique
evening,soir
25,vingt-cinq
maturity,âge_adulte
executive,cadre
coastguard,garde-côte
grasp,admiration
status,position
adapt,accommoder
destroyed,détruire
process,procédure
illustrated,causer
assurance,autorité
ensures,assurer
hindrances,dissuasif
explanations,compte
flawlessly,adroitement
deficiencies,absence
decently,décemment
night,nuit
paid,acquitter
worker,ouvrier
genuine,authentique
polluters,pollueur
fallen,tomber
agency,administration_fédérale
establishment,constitution
purpose,but
backwards,arrière
enormously,beaucoup
relative,parent
serve,service
zones,région
programme,programme
gained,obtenir
convergence,convergence
Indeed,certes
mistaken,confondre
advocates,avocat
bitter,amer
Greece,Dráma
faring,aller
decades,décennie
Standards,référence
assist,aide
debating,débat
shaken,agiter
backbenchers,député_de_l'arrière-ban
machinery,mach
condition,condition
reveals,apparaître
external,externe
pursuing,bénéficier
allocates,adjuger
commend,agréer
confined,limite
Cox,Cox
concomitant,accompagnement
misunderstand,mal_interpréter
have,avoir
New,autre
desired,désirer
prevent,empêcher
extent,mesure
high,haut
perplexity,embarras
return,déclaration_d'impôt
elicit,déterminer
patience,patience
prosecutor,procureur
Articles,article
basis,base
results,cause
North,North
discrepancy,désaccord
collect,collectionner
implies,connoter
deplore,dénoncer
seventh,septième
ilk,grain
park,jardin_public
calculation,calcul
representations,représentation
dragged,traîner
He,HE
places,endroit
offers,offre
shorter,court
afresh,derechef
Treasury,finance
minister,curé
undermines,contrecarrer
running,courir
direction,chemin
currently,actuellement
friend,ami
tangible,tangible
point,point
ventilators,ventilateur
inadmissible,inadmissible
Socialists,socialiste
looking,être
basic,BASIC
concise,boncis
European,Européen
occurring,arriver
Equal,allumette
penalties,châtiment
partly,en_partie
deletes,effacer
scene,scène
becoming,devenir
operators,gestionnaire
urgency,urgence
wishes,désir
irresponsibility,irresponsabilité
weak,faible
adjustment,accommodation
critics,critique
proposals,propos
be,BE
June,juin
constitutes,constituer
corroborate,accoter
tape,ruban
visions,vision
pylons,pylône
simple,pur
wrong,mauvais
exceptions,élision
speech,adresse
talked,discuter
July,juillet
short,court
Can,boîte
institute,institut
comparable,comparable
uphold,confirmer
6,10
earn,comprendre
additions,addition
approving,agrément
disturbing,déranger
broadly,en_général
deleting,effacer
bath,baignoire
pushes,pression
As,arsenic
original,original
grace,état_de_grâce
signal,signal
wake,lendemain
recently,dernièrement
comply,accomplir
poverty,pauvreté
truly,réellement
fore,arc
jeopardise,compromettre
escape,évasion
stern,poupe
garner,grenier
Presidents,président
farms,exploitation
type,genre
ruined,détruire
Tomorrow,demain
love,amour
assignment,mission
28,vingt-huit
forest,bois
Either,non_plus
problems,problème
euros,euro
selection,choix
circles,cercle
withhold,refuser
blessing,agrément
phase,étape
attendance,office
presidency,administration
identify,identifier
fracture,casser
spring,printemps
geographical,géographique
exclusively,exclusivement
America,Amérique
km,borne
restraints,restriction
organised,administrer
merger,amalgamation
lacks,absence
approximately,à_peu_près
Amsterdam,Amsterdam
March,mars
counter,comptoir
uniformly,uniformément
built,assembler
defined,définir
late,tard
groups,ensemble
set,ensemble
quoted,citer
delayed,arrêter
certainly,absolument
management,administration
arrives,arriver
expectations,attente
doubt,doute
seem,avoir_l’air_de
satisfied,combler
concepts,concept
appeals,appel
colleges,académie
centuries,siècle
fifties,années_1950
advising,conseiller
Lord,créateur
indicative,indicatif
difficulties,difficulté
government,gouvernement
Questions,question
licences,autorisation
revealed,apparaître
Official,cadre
straight,hétérosexuel
influenced,influencer
always,toujours
delivers,cadeau
coordinate,coordination
secure,approvisionner
sensible,raisonnable
construction,bâtiment
Lapland,Laponie
criminalise,hors-la-loi
war,guerre
unification,fusion
spoke,radius
accorded,correspondre
located,placer
travelling,voyage
French,français
guarantee,garantie
depends,dépendre
paradoxically,paradoxalement
individual,être_humain
identification,appellation
hundred,100
hurricane,ouragan
Turkish,turc
indication,indication
pressed,presser
continues,continuer
undertakings,entreprise
institution,établissement
obliged,contraindre
recurrence,récurrence
views,perspective
containing,comprendre
requesting,appeler
systematically,automatiquement
inundated,déluge
sales,débit
EXPLANATIONS,compte
moved,aller
inactivity,inaction
cargoes,cargaison
Shetland,îles_Shetland
emphasises,accent
courageously,audacieusement
linking,associer
